hour stock vwap
2 AAPL 162.98
2 ABT 69.18
2 ACIU 6.61
2 ADP 137.98
2 AGN 143.44
2 ALGN 206.48
2 AMAT 38.58
2 AMD 21.25
2 AMGN 187.69
2 AMZN 1621.0
2 ANTM 288.7
2 AVCO 5.67
2 BA 386.82
2 BABA 160.29
2 BAC 29.47
2 BBL 43.75
2 BHP 49.86
2 BIDU 166.96
2 BIIB 323.12
2 BKNG 1820.05
2 BOTZ 18.03
2 BSBR 12.9
2 CANF 1.34
2 CAT 127.16
2 CGC 47.8
2 CHKP 112.01
2 CLF 9.66
2 CODX 1.85
2 COHR 115.0
2 DFEN 41.99
2 DGAZ 88.84
2 DIA 247.91
2 DIS 111.0
2 DRIP 11.01
2 EBAY 33.82
2 EGHT 17.08
2 ETFC 47.21
2 EWZ 44.13
2 EYEN 4.5
2 F 8.74
2 FB 145.63
2 FHB 26.23
2 FRSX 2.05
2 FTI 23.01
2 GE 8.94
2 GILD 69.48
2 GLD 124.13
2 GOGL 4.97
2 GOOG 1068.19
2 GOOGL 1076.81
2 GS 200.82
2 HD 180.93
2 IBN 10.37
2 INTC 46.51
2 IPCI 0.37
2 IR 97.86
2 JD 23.91
2 JNPR 24.88
2 JVA 5.98
2 KLAC 102.84
2 KOLD 19.21
2 MCD 179.02
2 MLNX 92.74
2 MMM 198.57
2 MSFT 104.36
2 MU 38.38
2 NBEV 6.94
2 NFLX 332.57
2 NIO 6.93
2 NVCN 0.73
2 NVDA 134.08
2 NVS 84.92
2 OCX 5.55
2 OSK 76.89
2 PANW 206.74
2 PAYX 70.33
2 PBR 15.93
2 PCG 13.54
2 PDD 30.17
2 PFE 40.79
2 PULM 0.2
2 PYPL 91.68
2 QQQ 163.1
2 RIO 55.56
2 RMD 92.01
2 RNN 0.66
2 RWT 15.68
2 RYAAY 70.29
2 SBS 11.8
2 SBUX 67.12
2 SDOW 15.78
2 SHW 409.98
2 SIG 24.49
2 SLV 14.95
2 SPY 264.95
2 SQ 69.71
2 SRTY 28.97
2 SYK 171.34
2 T 29.81
2 TER 36.91
2 TGE 24.63
2 TIS 1.24
2 TME 15.56
2 TMO 242.9
2 TQQQ 43.02
2 TRVN 1.04
2 TSLA 298.46
2 TVIX 45.88
2 TWTR 31.92
2 UGAZ 38.97
2 UNG 25.66
2 V 136.08
2 VALE 12.25
2 VIV 13.04
2 WHR 134.18
2 XLE 62.55
2 XLK 65.27
2 XLNX 111.08
2 ZVZZT 10.02
